model,storage_name,caution_empty,caution_notice,condition_unopened,price_unopened,time-scraped
iPhone17 Pro,"iPhone17 Pro 256GB 未開封 188,000円",,,,,2026-02-23 01:40:14.045182+00:00
iPhone17 Pro,"iPhone17 Pro 512GB 未開封 214,500円",,,,,2026-02-23 01:40:14.045785+00:00
iPhone17 Pro,"iPhone17 Pro 1TB 未開封 241,000円",,,,,2026-02-23 01:40:14.046271+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 256GB 色減額：オレンジ-5000円・ブルー-3000円(未開封) / オレンジ-4000円、ブルー2000円(開封済) 未開封 208,000円",色減額：オレンジ-5000円・ブルー-3000円(未開封) / オレンジ-4000円、ブルー2000円(開封済),,,,2026-02-23 01:40:14.048294+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 512GB 色減額：オレンジ-5000円(未開封)/オレンジ-2000円(開封済) 未開封 238,000円",色減額：オレンジ-5000円(未開封)/オレンジ-2000円(開封済),,,,2026-02-23 01:40:14.049229+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 1TB 未開封 264,000円",,,,,2026-02-23 01:40:14.050110+00:00
iPhone17 Pro Max,"iPhone17 Pro Max 2TB 未開封 300,000円",,,,,2026-02-23 01:40:14.050996+00:00
iPhone17,"iPhone17 256GB 未開封 122,000円",,,,,2026-02-23 01:40:14.052457+00:00
iPhone17,"iPhone17 512GB 未開封 150,000円",,,,,2026-02-23 01:40:14.053422+00:00
iPhoneAir,"iPhoneAir 256GB 色減額：ブルー-2000円(未開封) 未開封 130,000円",色減額：ブルー-2000円(未開封),,,,2026-02-23 01:40:14.055046+00:00
iPhoneAir,"iPhoneAir 512GB 未開封 146,000円",,,,,2026-02-23 01:40:14.055823+00:00
iPhoneAir,"iPhoneAir 1TB 未開封 156,000円",,,,,2026-02-23 01:40:14.056611+00:00
iPhone16 Pro,"iPhone16 Pro 128GB 未開封 153,500円",,,,,2026-02-23 01:40:14.058399+00:00
iPhone16 Pro,"iPhone16 Pro 256GB 未開封 173,000円",,,,,2026-02-23 01:40:14.059237+00:00
iPhone16 Pro,"iPhone16 Pro 512GB 未開封 197,000円",,,,,2026-02-23 01:40:14.059901+00:00
iPhone16 Pro,"iPhone16 Pro 1TB 未開封 214,000円",,,,,2026-02-23 01:40:14.060457+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 256GB 未開封 183,000円",,,,,2026-02-23 01:40:14.061712+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 512GB 未開封 209,000円",,,,,2026-02-23 01:40:14.062563+00:00
iPhone16 Pro Max,"iPhone16 Pro Max 1TB 未開封 238,000円",,,,,2026-02-23 01:40:14.063474+00:00
iPhone16,"iPhone16 128GB 未開封 100,000円",,,,,2026-02-23 01:40:14.065034+00:00
iPhone16,"iPhone16 256GB 未開封 110,000円",,,,,2026-02-23 01:40:14.065840+00:00
iPhone16,"iPhone16 512GB 未開封 120,000円",,,,,2026-02-23 01:40:14.066640+00:00
iPhone16 Plus,"iPhone16 Plus 128GB 未開封 107,000円",,,,,2026-02-23 01:40:14.067732+00:00
iPhone16 Plus,"iPhone16 Plus 256GB 未開封 120,000円",,,,,2026-02-23 01:40:14.068490+00:00
iPhone16 Plus,"iPhone16 Plus 512GB 未開封 127,000円",,,,,2026-02-23 01:40:14.069292+00:00
iPhone16e,"iPhone16e 128GB 未開封 71,000円",,,,,2026-02-23 01:40:14.070808+00:00
iPhone16e,"iPhone16e 256GB 未開封 90,000円",,,,,2026-02-23 01:40:14.071589+00:00
iPhone16e,"iPhone16e 512GB 未開封 96,000円",,,,,2026-02-23 01:40:14.072337+00:00
iPhone15 Pro,"iPhone15 Pro 128GB 未開封 126,000円",,,,,2026-02-23 01:40:14.074112+00:00
iPhone15 Pro,"iPhone15 Pro 256GB 未開封 136,000円",,,,,2026-02-23 01:40:14.074972+00:00
iPhone15 Pro,"iPhone15 Pro 512GB 未開封 146,000円",,,,,2026-02-23 01:40:14.075869+00:00
iPhone15 Pro,"iPhone15 Pro 1TB 未開封 156,000円",,,,,2026-02-23 01:40:14.076953+00:00
iPhone15 Pro Max,"iPhone15 Pro Max 256GB 未開封 151,000円",,,,,2026-02-23 01:40:14.078674+00:00
iPhone15 Pro Max,"iPhone15 Pro Max 512GB 未開封 163,000円",,,,,2026-02-23 01:40:14.079579+00:00
iPhone15 Pro Max,"iPhone15 Pro Max 1TB 未開封 170,000円",,,,,2026-02-23 01:40:14.080442+00:00
iPhone15,"iPhone15 128GB 未開封 83,500円",,,,,2026-02-23 01:40:14.082091+00:00
iPhone15,"iPhone15 256GB 未開封 92,000円",,,,,2026-02-23 01:40:14.082918+00:00
iPhone15,"iPhone15 512GB 未開封 98,000円",,,,,2026-02-23 01:40:14.083765+00:00
iPhone15 Plus,"iPhone15 Plus 128GB 未開封 94,000円",,,,,2026-02-23 01:40:14.085375+00:00
iPhone15 Plus,"iPhone15 Plus 256GB 未開封 104,000円",,,,,2026-02-23 01:40:14.086193+00:00
iPhone15 Plus,"iPhone15 Plus 512GB 未開封 110,000円",,,,,2026-02-23 01:40:14.087003+00:00
iPhone14 Pro,"iPhone14 Pro 128GB 未開封 62,000円",,,,,2026-02-23 01:40:14.088718+00:00
iPhone14 Pro,"iPhone14 Pro 256GB 未開封 66,000円",,,,,2026-02-23 01:40:14.089537+00:00
iPhone14 Pro,"iPhone14 Pro 512GB 未開封 69,000円",,,,,2026-02-23 01:40:14.090358+00:00
iPhone14 Pro,"iPhone14 Pro 1TB 未開封 73,000円",,,,,2026-02-23 01:40:14.091191+00:00
iPhone14 Pro Max,"iPhone14 Pro Max 128GB 未開封 78,000円",,,,,2026-02-23 01:40:14.093017+00:00
iPhone14 Pro Max,"iPhone14 Pro Max 256GB 未開封 84,000円",,,,,2026-02-23 01:40:14.093890+00:00
iPhone14 Pro Max,"iPhone14 Pro Max 512GB 未開封 87,000円",,,,,2026-02-23 01:40:14.094791+00:00
iPhone14 Pro Max,"iPhone14 Pro Max 1TB 未開封 90,000円",,,,,2026-02-23 01:40:14.095670+00:00
iPhone14,"iPhone14 128GB イエロー、レッド：-2,000円(未開封) 未開封 68,500円","イエロー、レッド：-2,000円(未開封)",,,,2026-02-23 01:40:14.096807+00:00
iPhone14,"iPhone14 256GB 未開封 75,000円",,,,,2026-02-23 01:40:14.097553+00:00
iPhone14,"iPhone14 512GB 未開封 79,000円",,,,,2026-02-23 01:40:14.098078+00:00
iPhone14 Plus,"iPhone14 Plus 128GB 未開封 46,000円",,,,,2026-02-23 01:40:14.098914+00:00
iPhone14 Plus,"iPhone14 Plus 256GB 未開封 49,000円",,,,,2026-02-23 01:40:14.099330+00:00
iPhone14 Plus,"iPhone14 Plus 512GB 未開封 52,000円",,,,,2026-02-23 01:40:14.099756+00:00
iPhoneSE3,"iPhoneSE3 64GB 未開封 45,000円",,,,,2026-02-23 01:40:14.100540+00:00
iPhoneSE3,"iPhoneSE3 128GB 未開封 47,000円",,,,,2026-02-23 01:40:14.100941+00:00
iPhoneSE3,"iPhoneSE3 256GB 未開封 51,000円",,,,,2026-02-23 01:40:14.101411+00:00
iPhone13 Pro Max,"iPhone13 Pro Max 128GB 未開封 58,000円",,,,,2026-02-23 01:40:14.102283+00:00
iPhone13 Pro Max,"iPhone13 Pro Max 256GB 未開封 63,000円",,,,,2026-02-23 01:40:14.102707+00:00
iPhone13 Pro Max,"iPhone13 Pro Max 512GB 未開封 66,000円",,,,,2026-02-23 01:40:14.103153+00:00
iPhone13 Pro Max,"iPhone13 Pro Max 1TB 未開封 70,000円",,,,,2026-02-23 01:40:14.103572+00:00
iPhone13 Pro,"iPhone13 Pro 128GB 未開封 48,500円",,,,,2026-02-23 01:40:14.104438+00:00
iPhone13 Pro,"iPhone13 Pro 256GB 未開封 51,500円",,,,,2026-02-23 01:40:14.104855+00:00
iPhone13 Pro,"iPhone13 Pro 512GB 未開封 55,000円",,,,,2026-02-23 01:40:14.105275+00:00
iPhone13 Pro,"iPhone13 Pro 1TB 未開封 57,000円",,,,,2026-02-23 01:40:14.105677+00:00
iPhone13 mini,"iPhone13 mini 128GB 未開封 35,000円",,,,,2026-02-23 01:40:14.106467+00:00
iPhone13 mini,"iPhone13 mini 256GB 未開封 41,000円",,,,,2026-02-23 01:40:14.106886+00:00
iPhone13 mini,"iPhone13 mini 512GB 未開封 44,000円",,,,,2026-02-23 01:40:14.107316+00:00
iPhone13,"iPhone13 128GB 未開封 37,000円",,,,,2026-02-23 01:40:14.108085+00:00
iPhone13,"iPhone13 256GB 未開封 44,000円",,,,,2026-02-23 01:40:14.108516+00:00
iPhone13,"iPhone13 512GB 未開封 46,000円",,,,,2026-02-23 01:40:14.108910+00:00
iPhone12 mini,"iPhone12 mini 64GB 未開封 20,000円",,,,,2026-02-23 01:40:14.109694+00:00
iPhone12 mini,"iPhone12 mini 128GB 未開封 22,000円",,,,,2026-02-23 01:40:14.110097+00:00
iPhone12 mini,"iPhone12 mini 256GB 未開封 23,000円",,,,,2026-02-23 01:40:14.110532+00:00
iPhone12,"iPhone12 64GB 未開封 24,000円",,,,,2026-02-23 01:40:14.111314+00:00
iPhone12,"iPhone12 128GB 未開封 27,000円",,,,,2026-02-23 01:40:14.111713+00:00
iPhone12,"iPhone12 256GB 未開封 29,000円",,,,,2026-02-23 01:40:14.112112+00:00
iPhone12 Pro,"iPhone12 Pro 128GB 未開封 33,000円",,,,,2026-02-23 01:40:14.112923+00:00
iPhone12 Pro,"iPhone12 Pro 256GB 未開封 36,500円",,,,,2026-02-23 01:40:14.113363+00:00
iPhone12 Pro,"iPhone12 Pro 512GB 未開封 38,500円",,,,,2026-02-23 01:40:14.113845+00:00
iPhone12 Pro Max,"iPhone12 Pro Max 128GB 未開封 43,000円",,,,,2026-02-23 01:40:14.114980+00:00
iPhone12 Pro Max,"iPhone12 Pro Max 256GB 未開封 47,500円",,,,,2026-02-23 01:40:14.115525+00:00
iPhone12 Pro Max,"iPhone12 Pro Max 512GB 未開封 50,500円",,,,,2026-02-23 01:40:14.116004+00:00
iPhoneSE2,"iPhoneSE2 64GB 未開封 14,000円",,,,,2026-02-23 01:40:14.117378+00:00
iPhoneSE2,"iPhoneSE2 128GB 未開封 15,000円",,,,,2026-02-23 01:40:14.117960+00:00
iPhoneSE2,"iPhoneSE2 256GB 未開封 16,000円",,,,,2026-02-23 01:40:14.118419+00:00
iPhone11,"iPhone11 64GB 未開封 20,000円",,,,,2026-02-23 01:40:14.119278+00:00
iPhone11,"iPhone11 128GB 未開封 23,000円",,,,,2026-02-23 01:40:14.119734+00:00
iPhone11,"iPhone11 256GB 未開封 25,000円",,,,,2026-02-23 01:40:14.120336+00:00
iPhone11 Pro,"iPhone11 Pro 64GB 未開封 24,000円",,,,,2026-02-23 01:40:14.121371+00:00
iPhone11 Pro,"iPhone11 Pro 256GB 未開封 26,000円",,,,,2026-02-23 01:40:14.121903+00:00
iPhone11 Pro,"iPhone11 Pro 512GB 未開封 27,000円",,,,,2026-02-23 01:40:14.122536+00:00
iPhone11 Pro Max,"iPhone11 Pro Max 64GB 未開封 28,000円",,,,,2026-02-23 01:40:14.123676+00:00
iPhone11 Pro Max,"iPhone11 Pro Max 256GB 未開封 30,000円",,,,,2026-02-23 01:40:14.124121+00:00
iPhone11 Pro Max,"iPhone11 Pro Max 512GB 未開封 34,000円",,,,,2026-02-23 01:40:14.124576+00:00
iPhoneXR,"iPhoneXR 64GB 未開封 15,000円",,,,,2026-02-23 01:40:14.125477+00:00
iPhoneXR,"iPhoneXR 128GB 未開封 16,000円",,,,,2026-02-23 01:40:14.126023+00:00
iPhoneXR,"iPhoneXR 256GB 未開封 18,000円",,,,,2026-02-23 01:40:14.126486+00:00
iPhoneXs,"iPhoneXs 64GB 未開封 15,000円",,,,,2026-02-23 01:40:14.127287+00:00
iPhoneXs,"iPhoneXs 256GB 未開封 17,000円",,,,,2026-02-23 01:40:14.127688+00:00
iPhoneXs,"iPhoneXs 512GB 未開封 19,000円",,,,,2026-02-23 01:40:14.128087+00:00
iPhoneXs MAX,"iPhoneXs MAX 64GB 未開封 19,000円",,,,,2026-02-23 01:40:14.128879+00:00
iPhoneXs MAX,"iPhoneXs MAX 256GB 未開封 22,000円",,,,,2026-02-23 01:40:14.129318+00:00
iPhoneXs MAX,"iPhoneXs MAX 512GB 未開封 24,000円",,,,,2026-02-23 01:40:14.129725+00:00
iPhoneX,"iPhoneX 64GB 未開封 11,000円",,,,,2026-02-23 01:40:14.130453+00:00
iPhoneX,"iPhoneX 256GB 未開封 13,000円",,,,,2026-02-23 01:40:14.130859+00:00
iPhone8,"iPhone8 64GB 未開封 8,500円",,,,,2026-02-23 01:40:14.131653+00:00
iPhone8,"iPhone8 128GB 未開封 8,500円",,,,,2026-02-23 01:40:14.132061+00:00
iPhone8,"iPhone8 256GB 未開封 9,500円",,,,,2026-02-23 01:40:14.132485+00:00
iPhone8 Plus,"iPhone8 Plus 64GB 未開封 10,000円",,,,,2026-02-23 01:40:14.133338+00:00
iPhone8 Plus,"iPhone8 Plus 128GB 未開封 10,000円",,,,,2026-02-23 01:40:14.133762+00:00
iPhone8 Plus,"iPhone8 Plus 256GB 未開封 12,000円",,,,,2026-02-23 01:40:14.134192+00:00
iPhone7,"iPhone7 32GB 未開封 4,500円",,,,,2026-02-23 01:40:14.135280+00:00
iPhone7,"iPhone7 128GB 未開封 5,500円",,,,,2026-02-23 01:40:14.135958+00:00
iPhone7,"iPhone7 256GB 未開封 6,000円",,,,,2026-02-23 01:40:14.136425+00:00
iPhone7 Plus,"iPhone7 Plus 32GB 未開封 5,000円",,,,,2026-02-23 01:40:14.137409+00:00
iPhone7 Plus,"iPhone7 Plus 128GB 未開封 6,000円",,,,,2026-02-23 01:40:14.137946+00:00
iPhone7 Plus,"iPhone7 Plus 256GB 未開封 7,000円",,,,,2026-02-23 01:40:14.138693+00:00
